Category,Metric,Results
[OVERALL], RunTime(ms), 34497
[OVERALL], Throughput(ops/sec), 28.98802794445894
[TOTAL_GCS_Copy], Count, 6
[TOTAL_GC_TIME_Copy], Time(ms), 282
[TOTAL_GC_TIME_%_Copy], Time(%), 0.8174623880337419
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 6
[TOTAL_GC_TIME], Time(ms), 282
[TOTAL_GC_TIME_%], Time(%), 0.8174623880337419
[CLEANUP], Operations, 2
[CLEANUP], AverageLatency(us), 236245.5
[CLEANUP], MinLatency(us), 43
[CLEANUP], MaxLatency(us), 472575
[CLEANUP], 95thPercentileLatency(us), 472575
[CLEANUP], 99thPercentileLatency(us), 472575
[INSERT], Operations, 1000
[INSERT], AverageLatency(us), 23640.04
[INSERT], MinLatency(us), 1835
[INSERT], MaxLatency(us), 734207
[INSERT], 95thPercentileLatency(us), 56639
[INSERT], 99thPercentileLatency(us), 97215
[INSERT], Return=OK, 1000
[OVERALL], RunTime(ms), 111470
[OVERALL], Throughput(ops/sec), 89.71023593792052
[TOTAL_GCS_Copy], Count, 20
[TOTAL_GC_TIME_Copy], Time(ms), 606
[TOTAL_GC_TIME_%_Copy], Time(%), 0.5436440297837983
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 20
[TOTAL_GC_TIME], Time(ms), 606
[TOTAL_GC_TIME_%], Time(%), 0.5436440297837983
[CLEANUP], Operations, 2
[CLEANUP], AverageLatency(us), 336010.0
[CLEANUP], MinLatency(us), 20
[CLEANUP], MaxLatency(us), 672255
[CLEANUP], 95thPercentileLatency(us), 672255
[CLEANUP], 99thPercentileLatency(us), 672255
[INSERT], Operations, 10000
[INSERT], AverageLatency(us), 10012.0299
[INSERT], MinLatency(us), 942
[INSERT], MaxLatency(us), 932863
[INSERT], 95thPercentileLatency(us), 25999
[INSERT], 99thPercentileLatency(us), 45855
[INSERT], Return=OK, 10000
[OVERALL], RunTime(ms), 443638
[OVERALL], Throughput(ops/sec), 225.4090046389173
[TOTAL_GCS_Copy], Count, 147
[TOTAL_GC_TIME_Copy], Time(ms), 2186
[TOTAL_GC_TIME_%_Copy], Time(%), 0.4927440841406732
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 147
[TOTAL_GC_TIME], Time(ms), 2186
[TOTAL_GC_TIME_%], Time(%), 0.4927440841406732
[CLEANUP], Operations, 2
[CLEANUP], AverageLatency(us), 297360.0
[CLEANUP], MinLatency(us), 32
[CLEANUP], MaxLatency(us), 594943
[CLEANUP], 95thPercentileLatency(us), 594943
[CLEANUP], 99thPercentileLatency(us), 594943
[INSERT], Operations, 100000
[INSERT], AverageLatency(us), 4282.85853
[INSERT], MinLatency(us), 310
[INSERT], MaxLatency(us), 591871
[INSERT], 95thPercentileLatency(us), 13575
[INSERT], 99thPercentileLatency(us), 24335
[INSERT], Return=OK, 100000
[OVERALL], RunTime(ms), 2148713
[OVERALL], Throughput(ops/sec), 744.6317865624678
[TOTAL_GCS_Copy], Count, 2278
[TOTAL_GC_TIME_Copy], Time(ms), 16248
[TOTAL_GC_TIME_%_Copy], Time(%), 0.7561735792541862
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 2278
[TOTAL_GC_TIME], Time(ms), 16248
[TOTAL_GC_TIME_%], Time(%), 0.7561735792541862
[CLEANUP], Operations, 2
[CLEANUP], AverageLatency(us), 273140.5
[CLEANUP], MinLatency(us), 3304
[CLEANUP], MaxLatency(us), 543231
[CLEANUP], 95thPercentileLatency(us), 543231
[CLEANUP], 99thPercentileLatency(us), 543231
[INSERT], Operations, 1600000
[INSERT], AverageLatency(us), 1325.0929225
[INSERT], MinLatency(us), 269
[INSERT], MaxLatency(us), 3284991
[INSERT], 95thPercentileLatency(us), 5107
[INSERT], 99thPercentileLatency(us), 15223
[INSERT], Return=OK, 1600000
